,folio_btc_eth_xrp
2011-04-19,0.68387965126
2011-04-20,0.718848736459
2011-04-21,0.83637103314
2011-04-22,1.00839060733
2011-04-25,1.06177599243
2011-04-26,1.12702479643
2011-04-27,1.31090778953
2011-04-28,1.70833232301
2011-04-29,2.07586272733
2011-05-02,2.02293007181
2011-05-03,2.0222031534
2011-05-04,1.97652171589
2011-05-05,2.0365482204
2011-05-06,2.14579257781
2011-05-09,3.42098480658
2011-05-10,3.30594886281
2011-05-11,3.56917518857
2011-05-12,4.23670574554
2011-05-13,3.93066811495
2011-05-16,3.92851184957
2011-05-17,3.86429585164
2011-05-18,3.85211625704
2011-05-19,3.64281218892
2011-05-20,3.69437430966
2011-05-23,3.85309691544
2011-05-24,3.99751035375
2011-05-25,4.06317561581
2011-05-26,4.00648979463
2011-05-27,3.97214522294
2011-05-30,4.03981087589
2011-05-31,4.18425882833
2011-06-01,4.37280517642
2011-06-02,5.13118613033
2011-06-03,6.04208767161
2011-06-06,6.88556588323
2011-06-07,7.71977623974
2011-06-08,7.62910309032
2011-06-09,7.02393469782
2011-06-10,6.37729631978
2011-06-13,6.39586078226
2011-06-14,6.39682988854
2011-06-15,6.38259730697
2011-06-16,6.3750525041
2011-06-17,6.38196856768
2011-06-20,6.38551234444
2011-06-21,6.38551234444
2011-06-22,6.38551234444
2011-06-23,6.38551234444
2011-06-24,6.38551234444
2011-06-27,6.38231152469
2011-06-28,6.381739943
2011-06-29,6.37745312319
2011-06-30,6.37345209137
2011-07-01,6.37345209137
2011-07-04,6.3591294594
2011-07-05,6.36720506885
2011-07-06,6.36720506885
2011-07-07,6.36517542653
2011-07-08,6.36547771369
2011-07-11,6.36382086228
2011-07-12,6.3633938114
2011-07-13,6.36349344918
2011-07-14,6.36159841482
2011-07-15,6.36029432709
2011-07-18,6.36220803533
2011-07-19,6.35961284024
2011-07-20,6.3578083343
2011-07-21,6.35943263779
2011-07-22,6.35847313624
2011-07-25,6.36351034504
2011-07-26,6.36474464618
2011-07-27,6.35005394985
2011-07-28,6.34995242353
2011-07-29,6.35072379647
2011-08-01,6.30645716389
2011-08-02,6.26343224331
2011-08-03,6.28142280283
2011-08-04,6.25204347022
2011-08-05,6.1788085558
2011-08-08,6.21853290726
2011-08-09,6.21758231497
2011-08-10,6.19427055413
2011-08-11,6.19417683603
2011-08-12,6.22569900335
2011-08-15,6.26689700772
2011-08-16,6.26534317873
2011-08-17,6.25476598787
2011-08-18,6.33505015016
2011-08-19,6.30516808341
2011-08-22,6.22411024841
2011-08-23,6.20305642796
2011-08-24,5.90223971802
2011-08-25,5.55297305741
2011-08-26,5.62293616868
2011-08-29,5.66302724024
2011-08-30,5.53534888254
2011-08-31,5.53700491261
2011-09-01,5.61595575322
2011-09-02,5.57906451048
2011-09-05,5.21016001215
2011-09-06,5.2244983072
2011-09-07,5.17888678982
2011-09-08,5.17317767623
2011-09-09,5.17317767623
2011-09-12,5.17065575211
2011-09-13,5.14552388417
2011-09-14,4.80774439247
2011-09-15,4.80549583878
2011-09-16,4.80002966381
2011-09-19,4.93561452415
2011-09-20,4.68045420898
2011-09-21,4.61797612568
2011-09-22,4.66489737756
2011-09-23,4.63447869512
2011-09-26,4.39173024409
2011-09-27,4.36421066281
2011-09-28,4.36516891089
2011-09-29,4.4004099428
2011-09-30,4.37114329794
2011-10-03,4.34637207618
2011-10-04,4.32721220211
2011-10-05,4.30241456039
2011-10-06,4.25343637339
2011-10-07,4.23563705016
2011-10-10,4.22585339558
2011-10-11,4.23809382964
2011-10-12,4.20997269435
2011-10-13,4.19886765664
2011-10-14,4.17650415196
2011-10-17,4.06217498978
2011-10-18,4.03688619079
2011-10-19,4.04466812267
2011-10-20,4.11745913882
2011-10-21,4.45866511483
2011-10-24,4.0813615459
2011-10-25,4.08112346648
2011-10-26,4.25885330942
2011-10-27,4.40568226709
2011-10-28,4.82999421539
2011-10-31,4.38290839849
2011-11-01,4.28407709542
2011-11-02,4.37660320502
2011-11-03,4.27549403243
2011-11-04,4.23674561418
2011-11-07,4.1410132049
2011-11-08,4.16695758446
2011-11-09,4.08468894667
2011-11-10,3.99023923588
2011-11-11,4.17173436114
2011-11-14,3.33296880709
2011-11-15,3.33619276291
2011-11-16,3.37195838361
2011-11-17,3.24832657213
2011-11-18,3.23773672434
2011-11-21,3.2535901472
2011-11-22,3.2644267334
2011-11-23,3.26436444002
2011-11-24,3.29164442505
2011-11-25,3.31871226989
2011-11-28,3.33461366414
2011-11-29,3.42158765229
2011-11-30,3.54795886673
2011-12-01,3.61102125587
2011-12-02,3.65592373248
2011-12-05,3.45581196905
2011-12-06,3.55765776683
2011-12-07,3.5261119986
2011-12-08,3.51858307283
2011-12-09,3.51086630127
2011-12-12,3.63911629536
2011-12-13,3.73551016837
2011-12-14,3.63730693623
2011-12-15,3.6820857769
2011-12-16,3.68179427845
2011-12-19,4.00183530409
2011-12-20,4.4906958668
2011-12-21,4.42248276503
2011-12-22,4.42248276503
2011-12-23,4.4906958668
2011-12-26,4.57027781887
2011-12-27,4.62712207035
2011-12-28,4.7635482739
2011-12-29,4.74081057331
2011-12-30,4.83176137567
2012-01-02,5.93453985436
2012-01-03,5.5479989443
2012-01-04,6.33244961471
2012-01-05,7.90135095551
2012-01-06,7.61712969812
2012-01-09,7.19648223718
2012-01-10,7.23058878807
2012-01-11,7.84450670403
2012-01-12,7.73081820108
2012-01-13,7.28743303954
2012-01-16,7.59439199753
2012-01-17,6.3441491687
2012-01-18,6.49039204172
2012-01-19,6.72867750821
2012-01-20,6.80478513136
2012-01-23,6.713309
2012-01-24,6.67105165907
2012-01-25,6.34457576134
2012-01-26,6.14539786429
2012-01-27,6.12581544995
2012-01-30,6.20402286635
2012-01-31,6.19999320458
2012-02-01,6.43225869535
2012-02-02,6.44288238938
2012-02-03,6.36823740625
2012-02-06,6.09744984152
2012-02-07,6.18785024322
2012-02-08,6.1535241516
2012-02-09,6.23945027356
2012-02-10,6.27397695622
2012-02-13,5.97644360196
2012-02-14,5.72637851908
2012-02-15,5.70610377828
2012-02-16,5.69846720532
2012-02-17,5.7107449455
2012-02-20,5.70239627208
2012-02-21,5.69082626873
2012-02-22,5.70442979469
2012-02-23,5.79611639636
2012-02-24,5.80071760033
2012-02-27,5.78384272049
2012-02-28,5.7618818553
2012-02-29,5.7592993034
2012-03-01,5.77434527081
2012-03-02,5.71775109473
2012-03-05,5.7815619954
2012-03-06,5.78410315011
2012-03-07,5.77051675863
2012-03-08,5.76770659368
2012-03-09,5.74834393187
2012-03-12,5.75635111195
2012-03-13,5.86220190023
2012-03-14,5.89928637029
2012-03-15,5.87516440463
2012-03-16,5.8787505265
2012-03-19,5.53357580228
2012-03-20,5.59386513288
2012-03-21,5.57847721407
2012-03-22,5.52738277745
2012-03-23,5.52274256668
2012-03-26,5.57728229477
2012-03-27,5.56755492047
2012-03-28,5.57682047146
2012-03-29,5.5989494244
2012-03-30,5.62845310516
2012-04-02,5.65303657165
2012-04-03,5.62698595222
2012-04-04,5.6330279337
2012-04-05,5.6522204787
2012-04-06,5.47421022644
2012-04-09,5.54086541245
2012-04-10,5.59344590285
2012-04-11,5.58670520521
2012-04-12,5.59949731182
2012-04-13,5.6130907948
2012-04-16,5.62664858608
2012-04-17,5.72427686942
2012-04-18,5.73914322522
2012-04-19,5.89770466123
2012-04-20,5.81327439542
2012-04-23,5.66056961604
2012-04-24,5.68310253486
2012-04-25,5.65854350975
2012-04-26,5.66541457135
2012-04-27,5.55674449382
2012-04-30,5.57155473985
2012-05-01,5.62444604537
2012-05-02,5.67226971318
2012-05-03,5.61989637743
2012-05-04,5.62794363647
2012-05-07,5.60242000488
2012-05-08,5.59380999174
2012-05-09,5.42725696965
2012-05-10,5.49430998609
2012-05-11,5.48648066132
2012-05-14,5.5551476993
2012-05-15,5.59667086463
2012-05-16,5.60521999253
2012-05-17,5.62249160341
2012-05-18,5.60418765915
2012-05-21,5.60398054515
2012-05-22,5.63750830656
2012-05-23,5.61489111275
2012-05-24,5.64014343591
2012-05-25,5.58428022776
2012-05-28,5.62818592119
2012-05-29,5.61576256246
2012-05-30,5.65317159483
2012-05-31,5.75139272292
2012-06-01,5.72956580557
2012-06-04,5.93692152043
2012-06-05,5.95874843779
2012-06-06,6.10062340059
2012-06-07,6.1442772353
2012-06-08,6.06788302456
2012-06-11,6.22067144604
2012-06-12,6.47168099562
2012-06-13,6.49350791297
2012-06-14,7.09374814022
2012-06-15,6.98461355345
2012-06-18,7.09374814022
2012-06-19,7.27927693774
2012-06-20,7.29019039641
2012-06-21,7.14831543361
2012-06-22,7.01735392948
2012-06-25,7.00644047081
2012-06-26,7.25745002038
2012-06-27,7.21379618567
2012-06-28,7.25745002038
2012-06-29,7.30110385509
2012-07-02,7.03918084684
2012-07-03,7.1046615989
2012-07-04,7.27927693774
2012-07-05,7.25745002038
2012-07-06,7.37749806583
2012-07-09,7.85769024763
2012-07-10,7.80312295424
2012-07-11,8.46884393356
2012-07-12,8.37062280546
2012-07-13,8.22874784266
2012-07-16,9.60384363599
2012-07-17,9.94216085499
2012-07-18,9.68023784673
2012-07-19,9.29826679303
2012-07-20,9.65841092938
2012-07-23,9.38557446245
2012-07-24,9.60384363599
2012-07-25,9.71297822276
2012-07-26,9.71297822276
2012-07-27,9.70206476409
2012-07-30,10.2040838632
2012-07-31,10.4223530368
2012-08-01,11.4918719872
2012-08-02,11.972064169
2012-08-03,11.9829776276
2012-08-06,12.1139391318
2012-08-07,12.0702852971
2012-08-08,12.0702852971
2012-08-09,12.4304294334
