,BTC-USD,ETH-USD+,XRP-USD+,cash
current,0.1040505747892277,0.07699281428161457,0.02915899237893828,0.7897976185502195
target,0.12657513432529746,0.08331782303926454,0.07138888888888889,0.7187181537465491
change,0.022524559536069758,0.006325008757649964,0.04222989650995061,-0.07107946480367033
