,ETH-USD+,cash,value
2016-04-15,0.381415840428,0.618584159572,35168.318909
2016-04-18,0.504444444444,0.495555555556,35618.9507784
2016-04-19,0.343611111111,0.656388888889,35136.747733
2016-04-20,0.290630546065,0.709369453935,34582.3996514
2016-04-21,0.24848386754,0.75151613246,34185.4221444
2016-04-22,0.306605772125,0.693394227875,34702.9564625
2016-04-25,0.209234657766,0.790765342234,33660.5566422
2016-04-26,0.233298942572,0.766701057428,33912.8809831
2016-04-27,0.175684686532,0.824315313468,33431.1378875
2016-04-28,0.202773049447,0.797226950553,33598.5629148
2016-04-29,0.354189868857,0.645810131143,34787.7025354
2016-05-02,0.427222222222,0.572777777778,35537.094176
2016-05-03,0.437970898091,0.562029101909,35633.6594499
2016-05-04,0.490833333333,0.509166666667,36226.3452764
2016-05-05,0.417168167607,0.582831832393,35277.5450002
2016-05-06,0.413162830331,0.586837169669,35324.8337212
2016-05-09,0.438588865142,0.561411134858,35464.443539
2016-05-10,0.519501056493,0.480498943507,36420.5109372
2016-05-11,0.538511218538,0.461488781462,36666.0682473
2016-05-12,0.6102390391,0.3897609609,37404.3648825
2016-05-13,0.540317223833,0.459682776167,36659.1977249
2016-05-16,0.844722222222,0.155277777778,40781.533182
2016-05-17,0.932222222222,0.0677777777778,43669.4068917
2016-05-18,0.924573096439,0.0754269035611,47344.0888546
2016-05-19,0.805555555556,0.194444444444,45037.2872422
2016-05-20,0.831626675011,0.168373324989,45616.4882441
2016-05-23,0.605277777778,0.394722222222,41980.3339594
2016-05-24,0.601864049148,0.398135950852,41798.9803435
2016-05-25,0.571747971206,0.428252028794,41475.4779747
2016-05-26,0.419444444444,0.580555555556,39049.597557
2016-05-27,0.466319047502,0.533680952498,39710.1155066
2016-05-30,0.705555555556,0.294444444444,43362.9751356
2016-05-31,0.703916416155,0.296083583845,43318.6785355
2016-06-01,0.697091331935,0.302908668065,43207.911429
2016-06-02,0.695229299977,0.304770700023,43207.75052
2016-06-03,0.679611770622,0.320388229378,42944.9709748
2016-06-06,0.77522853715,0.22477146285,44540.1956822
2016-06-07,0.784538561763,0.215461438237,44611.2837488
2016-06-08,0.787660025916,0.212339974084,44732.2459415
2016-06-09,0.719444444444,0.280555555556,43462.2666097
2016-06-10,0.718333333333,0.281666666667,43551.650849
2016-06-13,0.946666666667,0.0533333333333,54009.3817567
2016-06-14,0.893333333333,0.106666666667,52910.0685033
2016-06-15,0.946411903861,0.0535880961394,58872.0063819
2016-06-16,0.353888888889,0.646111111111,44962.746509
2016-06-17,0.0877777777778,0.912222222222,40702.4034925
2016-06-20,0.129395000153,0.870604999847,41124.3628066
2016-06-21,0.160563403037,0.839436596963,41331.4965498
2016-06-22,0.178333333333,0.821666666667,41516.2157069
