,perf
2011-04-06,0.00584054067491
2011-04-07,0.00583450114163
2011-04-08,0.00580290907375
2011-04-11,0.00596965885143
2011-04-12,0.00610489940853
2011-04-13,0.00630558151222
2011-04-14,0.00627110497456
2011-04-15,0.00649592124461
2011-04-18,0.007146515313
2011-04-19,0.0068387965126
2011-04-20,0.00718848736459
2011-04-21,0.0083637103314
2011-04-22,0.0100839060733
2011-04-25,0.0106177599243
2011-04-26,0.0112702479643
2011-04-27,0.0131090778953
2011-04-28,0.0170833232301
2011-04-29,0.0207586272733
2011-05-02,0.0202293007181
2011-05-03,0.020222031534
2011-05-04,0.0197652171589
2011-05-05,0.020365482204
2011-05-06,0.0214579257781
2011-05-09,0.0342098480658
2011-05-10,0.0330594886281
2011-05-11,0.0356917518857
2011-05-12,0.0423670574554
2011-05-13,0.0393066811495
2011-05-16,0.0392851184957
2011-05-17,0.0386429585164
2011-05-18,0.0385211625704
2011-05-19,0.0364281218892
2011-05-20,0.0369437430966
2011-05-23,0.0385309691544
2011-05-24,0.0399751035375
2011-05-25,0.0406317561581
2011-05-26,0.0400648979463
2011-05-27,0.0397214522294
2011-05-30,0.0403981087589
2011-05-31,0.0418425882833
2011-06-01,0.0437280517642
2011-06-02,0.0513118613033
2011-06-03,0.0604208767161
2011-06-06,0.0688556588323
2011-06-07,0.0771977623974
2011-06-08,0.0762910309032
2011-06-09,0.0702393469782
2011-06-10,0.0637729631978
2011-06-13,0.0639586078226
2011-06-14,0.0639682988854
2011-06-15,0.0638259730697
2011-06-16,0.063750525041
2011-06-17,0.0638196856768
2011-06-20,0.0638551234444
2011-06-21,0.0638551234444
2011-06-22,0.0638551234444
2011-06-23,0.0638551234444
2011-06-24,0.0638551234444
2011-06-27,0.0638231152469
2011-06-28,0.06381739943
2011-06-29,0.0637745312319
2011-06-30,0.0637345209137
2011-07-01,0.0637345209137
2011-07-04,0.063591294594
2011-07-05,0.0636720506885
2011-07-06,0.0636720506885
2011-07-07,0.0636517542653
2011-07-08,0.0636547771369
2011-07-11,0.0636382086228
2011-07-12,0.063633938114
2011-07-13,0.0636349344918
2011-07-14,0.0636159841482
2011-07-15,0.0636029432709
2011-07-18,0.0636220803533
2011-07-19,0.0635961284024
2011-07-20,0.063578083343
2011-07-21,0.0635943263779
2011-07-22,0.0635847313624
2011-07-25,0.0636351034504
2011-07-26,0.0636474464618
2011-07-27,0.0635005394985
2011-07-28,0.0634995242353
2011-07-29,0.0635072379647
2011-08-01,0.0630645716389
2011-08-02,0.0626343224331
2011-08-03,0.0628142280283
2011-08-04,0.0625204347022
2011-08-05,0.061788085558
2011-08-08,0.0621853290726
2011-08-09,0.0621758231497
2011-08-10,0.0619427055413
2011-08-11,0.0619417683603
2011-08-12,0.0622569900335
2011-08-15,0.0626689700772
2011-08-16,0.0626534317873
2011-08-17,0.0625476598787
2011-08-18,0.0633505015016
2011-08-19,0.0630516808341
2011-08-22,0.0622411024841
2011-08-23,0.0620305642796
2011-08-24,0.0590223971802
2011-08-25,0.0555297305741
2011-08-26,0.0562293616868
2011-08-29,0.0566302724024
