,BTC-USD,cash,value
2013-01-01,0.716264556481,0.283735443519,122.07886728
2013-01-02,0.706034558858,0.293965441142,121.944954371
2013-01-03,0.73942993731,0.26057006269,122.7152522
2013-01-04,0.757523886306,0.242476113694,123.38832154
2013-01-07,0.788624742541,0.211375257459,124.004077917
2013-01-08,0.813174146239,0.186825853761,125.077831288
2013-01-09,0.836636315887,0.163363684113,125.294119289
2013-01-10,0.846625047921,0.153374952079,128.10918119
2013-01-11,0.845349308484,0.154650691516,128.108854322
2013-01-14,0.846749781135,0.153250218865,129.334260418
2013-01-15,0.824732158108,0.175267841892,128.945767631
2013-01-16,0.8454616912,0.1545383088,132.52381506
2013-01-17,0.849812296062,0.150187703938,138.380242869
2013-01-18,0.850680609096,0.149319390904,139.89741598
2013-01-21,0.853756279085,0.146243720915,148.234060393
2013-01-22,0.851799345436,0.148200654564,151.697714815
2013-01-23,0.850077860203,0.149922139797,153.493412631
2013-01-24,0.722777777778,0.277222222222,148.982068503
2013-01-25,0.825357372749,0.174642627251,152.139059129
2013-01-28,0.875712444156,0.124287555844,161.652792455
2013-01-29,0.869274969184,0.130725030816,167.774510873
2013-01-30,0.866471661694,0.133528338306,169.042732351
2013-01-31,0.866219232614,0.133780767386,174.320166824
2013-02-01,0.864198504516,0.135801495484,174.985132625
2013-02-04,0.855031052588,0.144968947412,174.465697522
2013-02-05,0.868483223822,0.131516776178,175.702648809
2013-02-06,0.866254152969,0.133745847031,179.997120917
2013-02-07,0.871323625249,0.128676374751,187.13806973
2013-02-08,0.866876267491,0.133123732509,190.889836724
2013-02-11,0.874169486865,0.125830513135,205.421283375
2013-02-12,0.873974700887,0.126025299113,209.208420193
2013-02-13,0.730555555556,0.269444444444,202.103868638
2013-02-14,0.8875,0.1125,220.475024403
2013-02-15,0.875826338371,0.124173661629,219.607456202
2013-02-18,0.851347190855,0.148652809145,218.532375925
2013-02-19,0.889155244405,0.110844755595,235.571971356
2013-02-20,0.884064256005,0.115935743995,237.206731368
2013-02-21,0.883312551946,0.116687448054,237.913482716
2013-02-22,0.885231324616,0.114768675384,241.445347734
2013-02-25,0.885008690769,0.114991309231,242.504840917
2013-02-26,0.887951683431,0.112048316569,247.446409762
2013-02-27,0.871763104594,0.128236895406,246.025723329
2013-02-28,0.88904461382,0.11095538618,263.234972705
2013-03-01,0.889346217335,0.110653782665,271.085767456
2013-03-04,0.891974323205,0.108025676795,282.615107018
2013-03-05,0.897091821946,0.102908178054,311.76075533
2013-03-06,0.895374694735,0.104625305265,316.543670534
2013-03-07,0.894772347224,0.105227652776,323.313152311
2013-03-08,0.895922191479,0.104077808521,338.326491124
2013-03-11,0.899351709917,0.100648290083,367.276238315
2013-03-12,0.625277777778,0.374722222222,339.031928798
2013-03-13,0.758333333333,0.241666666667,351.538991217
2013-03-14,0.767946012403,0.232053987597,352.953332907
2013-03-15,0.758275369354,0.241724630646,351.682944365
2013-03-18,0.894444444444,0.105555555556,378.010681609
2013-03-19,0.902468511202,0.0975314887983,427.413462909
2013-03-20,0.905005341715,0.0949946582848,462.303490221
2013-03-21,0.906497695606,0.0935023043936,503.558988389
2013-03-22,0.878888888889,0.121111111111,497.218429724
2013-03-25,0.895191482162,0.104808517838,520.53675273
2013-03-26,0.898453860815,0.101546139185,551.557154874
2013-03-27,0.904052199446,0.0959478005538,617.329942539
2013-03-28,0.825,0.175,600.038379842
2013-03-29,0.9,0.1,624.771483263
2013-04-01,0.913473862583,0.0865261374174,795.500174909
2013-04-02,0.915044924597,0.0849550754027,900.317103084
2013-04-03,0.870833333333,0.129166666667,882.665456598
2013-04-04,0.922634755595,0.0773652444052,941.930528676
2013-04-05,0.916965830567,0.083034169433,943.81251769
2013-04-08,0.740007955555,0.259992044445,1473.5617782
2013-04-09,0.240622158791,0.759377841209,1164.12271556
2013-04-10,0.0877183643785,0.912281635621,1095.80041158
2013-04-11,0.0653924416796,0.93460755832,1089.68287262
2013-04-12,0.0192073481123,0.980792651888,1074.9930865
2013-04-15,0.0151455290423,0.984854470958,1069.52048573
2013-04-16,0.0288657268745,0.971134273126,1075.35784153
2013-04-17,0.0572769284693,0.942723071531,1080.62336942
2013-04-18,0.0889529739948,0.911047026005,1085.94196919
2013-04-19,0.114481055856,0.885518944144,1092.53515641
