,perf
2010-07-19,
2010-07-20,0.0004035403733358495
2010-07-21,0.000293653370128508
2010-07-22,0.00034645498352428437
2010-07-23,0.00031288068167189425
2010-07-26,0.00033634523400777235
2010-07-27,0.000331714625510422
2010-07-28,0.0003781262576198705
2010-07-29,0.0003488752157215878
2010-07-30,0.0003703416248282024
2010-08-02,0.0003381622472794708
2010-08-03,0.0003254646940658764
2010-08-04,0.00034257407326280663
2010-08-05,0.0003480429056831881
2010-08-06,0.0003341981625774342
2010-08-09,0.000380878013722403
2010-08-10,0.0003686196947818104
2010-08-11,0.0003809837433662073
2010-08-12,0.0003585030947983248
2010-08-13,0.0003689120373837147
2010-08-16,0.0003808547173029097
2010-08-17,0.00036997315395140886
2010-08-18,0.0003629001377729331
2010-08-19,0.0003563711997620323
2010-08-20,0.000361267903270208
2010-08-23,0.0003536508089241571
2010-08-24,0.00035256265258900687
2010-08-25,0.0003482100272484062
2010-08-26,0.0003536508089241571
2010-08-27,0.00034875410541598134
2010-08-30,0.0003259634005356218
2010-08-31,0.0003369132439780859
2010-09-01,0.0003395914096694829
2010-09-02,0.0003255628525721112
2010-09-03,0.0003316501498519732
2010-09-06,0.0003241963714010833
2010-09-07,0.0003285548971132069
2010-09-08,0.00032453755408829376
2010-09-09,0.00032723515522357986
2010-09-10,0.0003344027054408996
2010-09-13,0.0003252889139062438
2010-09-14,0.0003182929703180221
2010-09-15,0.0003225445618003627
2010-09-16,0.0003106795835035181
2010-09-17,0.00031490708650988727
2010-09-20,0.0003200914547168543
2010-09-21,0.0003182004843454458
2010-09-22,0.000318634151113321
2010-09-23,0.0003181686569529427
2010-09-24,0.00031741589436911336
2010-09-27,0.00031690165290020744
2010-09-28,0.0003168879097007209
2010-09-29,0.0003168257359696965
2010-09-30,0.000317090975306161
2010-10-01,0.00031440415810062434
2010-10-04,0.00031437234127190314
2010-10-05,0.0003200065227613887
2010-10-06,0.0003413538771694268
2010-10-07,0.00044248633182325265
2010-10-08,0.00047789542803705257
2010-10-11,0.0004834997454234089
2010-10-12,0.0005349575686981353
2010-10-13,0.0005196730667353468
2010-10-14,0.0005349575686981359
2010-10-15,0.000514578232747751
2010-10-18,0.0004941988967973654
2010-10-19,0.0005043885647725586
2010-10-20,0.0005451472366733304
2010-10-21,0.0005222204837291478
2010-10-22,0.0005375049856919368
2010-10-25,0.0007657535483362463
2010-10-26,0.0009562440143890689
2010-10-27,0.0008810739725363956
2010-10-28,0.0009310246864189021
2010-10-29,0.0009648992194539506
2010-11-01,0.0009485256972758389
2010-11-02,0.0009409048788422146
2010-11-03,0.0009381149721812965
2010-11-04,0.001084364202334186
2010-11-05,0.0012148858747332587
2010-11-08,0.0011416283829719244
2010-11-09,0.0010399825391281658
2010-11-10,0.0010762220767124816
2010-11-11,0.0010456183601825853
2010-11-12,0.0011063147373777565
2010-11-15,0.0011062916211651856
2010-11-16,0.0010179381642451504
2010-11-17,0.001022237333995421
2010-11-18,0.0010503504454209072
2010-11-19,0.0010645181463036972
2010-11-22,0.0010740745647771592
2010-11-23,0.0010672116084305399
2010-11-24,0.0010672839912381949
2010-11-25,0.0010635750545408306
2010-11-26,0.0010687339214613075
2010-11-29,0.0009980816728343668
2010-11-30,0.0009894026682771536
2010-12-01,0.000993301090372082
2010-12-02,0.001002130325975094
2010-12-03,0.0010001271838635734
2010-12-06,0.0009773107512073265
2010-12-07,0.000982516088285283
2010-12-08,0.0009841756875612864
2010-12-09,0.0009715984948598543
2010-12-10,0.0009722857365504897
2010-12-13,0.0009762344301162751
2010-12-14,0.000979961588558572
2010-12-15,0.0009767342543832804
2010-12-16,0.0009804767991486412
2010-12-17,0.000976579742964342
2010-12-20,0.0009855390936917695
2010-12-21,0.0009715179540382474
2010-12-22,0.000975219280342534
2010-12-23,0.0009752167062622339
2010-12-24,0.0009743028480507962
2010-12-27,0.0009819740297952772
2010-12-28,0.0009912340047109863
2010-12-29,0.001005118324782835
2010-12-30,0.0010050778820897704
2010-12-31,0.001005043182521241
2011-01-03,0.001
2011-01-04,0.0010036621106240032
2011-01-05,0.0010033101763045164
2011-01-06,0.0010014648107332688
2011-01-07,0.0010376152727492862
2011-01-10,0.0010509555392914842
2011-01-11,0.0010509245632703125
2011-01-12,0.0010331637396221746
2011-01-13,0.0010306283239957521
2011-01-14,0.0012028393790455571
2011-01-17,0.0010551782785290413
2011-01-18,0.0009839909444680642
2011-01-19,0.0009839778135177955
2011-01-20,0.001093318510736056
2011-01-21,0.0011694115567120974
2011-01-24,0.0011694115567120974
2011-01-25,0.001141840291145443
2011-01-26,0.001161335125384492
2011-01-27,0.0011730320259279213
2011-01-28,0.0012420994386605501
2011-01-31,0.0014481876863304795
2011-02-01,0.0019494834239059129
2011-02-02,0.001994043045023718
2011-02-03,0.0019216336607072865
2011-02-04,0.0022586157954106903
2011-02-07,0.002478628924679822
2011-02-08,0.002556608261635963
2011-02-09,0.003035624188652243
2011-02-10,0.002726099422852709
2011-02-11,0.0029080670843061314
2011-02-14,0.0029080571367519187
2011-02-15,0.0028601586887996664
2011-02-16,0.0028600780633091707
2011-02-17,0.0028383434326356076
2011-02-18,0.002536086283134831
2011-02-21,0.0024494053115408834
2011-02-22,0.0024854366086254328
2011-02-23,0.0025183262619788128
2011-02-24,0.002632555236506585
2011-02-25,0.0025006903411604396
2011-02-28,0.0024425923913218477
2011-03-01,0.0024995681637163224
2011-03-02,0.00252078253772835
2011-03-03,0.0025198044127390305
2011-03-04,0.002474936336761349
2011-03-07,0.0024582821657232194
2011-03-08,0.0024436965466550268
