,BTC-USD,ETH-USD+,XRP-USD+,cash
current,0.17426361248713626,0.2269444444444444,0.22249999999999973,0.3762919430684196
target,0.1923931785823424,0.22444444444444472,0.2252777777777777,0.35788459919543536
change,0.018129566095206134,-0.002499999999999669,0.002777777777777962,-0.01840734387298426
