,net perf/dd,Sharpe,perf,net perf,dd,vol,occ,VaR robust 0.02,VaR sample 0.02
CRC3,10.366681900744917,6.49813345653445,6.017923318617606,6.017923318617606,0.5805062194669228,0.9261002961652087,0.6417563364567846,-0.09302094476704498,-0.08960662122239785
CRC3b,10.830284716541188,6.7137576611350624,6.287047636550427,6.287047636550427,0.5805062194669882,0.9364424445858693,0.6332059640649733,-0.12185826468017413,-0.11655921889497912
CRC4,8.994105708582264,5.859930411834399,5.7801472152458135,5.7801472152458135,0.6426594708276934,0.9863849583559116,0.6602170294874278,-0.14319050952802004,-0.13743003611762086
folio_equal-weight_btc_eth_xrp,5.596906276711574,3.0351965862659447,5.209282700114996,5.209282700114996,0.9307432432432433,1.7162916971133406,0.9999999999999998,-0.15514995245429236,-0.148502629731736
